,NEname,SIG.ConflictPPS,SIG.ConflictPkg,SIG.RecvErrPPS,SIG.RecvErrPkg,SIG.RecvKB,SIG.RecvKBPS,SIG.RecvLoss,SIG.RecvLossPPS,SIG.RecvPPS,SIG.RecvPkg,SIG.SendErrPkg,SIG.SendKB,SIG.SendKBPS,SIG.SendLoss,SIG.SendLossPPS,SIG.SendPPS,SIG.SendPkg,SIG.SenderrPPS,dateTime
0,CQISBG5BZX_3-5_SIP2,0.00000,0,0.00000,0,831373,923.74767,0,0.00000,1104028.88889,993626000,0,2375950,2639.94404,0,0.00000,2369294.44444,2132365000,0.00000,20210426000000
1,CQISBG5BZX_3-6_SIP2,0.00000,0,0.00000,0,58,0.06451,0,0.00000,1032.22222,929000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
2,CQISBG7BZX_4-9_DRA,0.00000,0,0.00000,0,555062,616.73575,0,0.00000,1715128.88889,1543616000,0,679726,755.25065,0,0.00000,1389620.00000,1250658000,0.00000,20210426000000
3,CQISBG7BZX_4-10_DRA,0.00000,0,0.00000,0,563,0.62500,0,0.00000,10000.00000,9000000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
4,CQISBG7BZX_3-10_SIP1,0.00000,0,0.00000,0,563,0.62507,0,0.00000,10001.11111,9001000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
5,CQISBG8BZX_3-9_SIP1,0.00000,0,0.00000,0,633,0.70333,0,0.00000,11253.33333,10128000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
6,CQISBG8BZX_3-10_SIP1,0.00000,0,0.01556,14,2771271,3079.18963,0,0.00000,3578290.00000,3220461000,0,3095843,3439.82559,0,0.00000,3185576.66667,2867019000,0.00000,20210426000000
7,CQISBG7BZX_3-12_SIP3,0.00000,0,0.00000,0,562,0.62486,0,0.00000,9997.77778,8998000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
8,CQISBG7BZX_3-14_SIP3,0.00000,0,0.00000,0,34815,38.68288,0,0.00000,54838.88889,49355000,0,1287251,1430.27925,0,0.00000,1318792.22222,1186913000,0.00000,20210426000000
9,CQISBG5BZX_3-14_SIP3,0.00000,0,0.00000,0,58,0.06493,0,0.00000,1038.88889,935000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
10,CQISBG5BZX_3-12_SIP3,0.00000,0,0.00000,0,36134,40.14856,0,0.00000,48184.44444,43366000,0,1377056,1530.06270,0,0.00000,1408307.77778,1267477000,0.00000,20210426000000
11,CQISBG8BZX_4-9_DRA,0.00000,0,0.00000,0,634,0.70389,0,0.00000,11262.22222,10136000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
12,CQISBG5BZX_4-10_DRA,0.00000,0,0.00000,0,557541,619.49038,0,0.00000,1715020.00000,1543518000,0,686243,762.49244,0,0.00000,1398448.88889,1258604000,0.00000,20210426000000
13,CQISBG8BZX_3-13_SIP4,0.00000,0,0.00000,0,632,0.70271,0,0.00000,11243.33333,10119000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
14,CQISBG8BZX_3-11_SIP4,0.00000,0,0.00000,0,1855671,2061.85703,0,0.00000,1943882.22222,1749494000,0,2011264,2234.73773,0,0.00000,2622623.33333,2360361000,0.00000,20210426000000
15,CQISBG8BZX_3-6_SIP2,0.00000,0,0.00000,0,634,0.70396,0,0.00000,11263.33333,10137000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
16,CQISBG6BZX_3-6_SIP2,0.00000,0,0.00000,0,58,0.06479,0,0.00000,1036.66667,933000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
17,CQISBG8BZX_3-5_SIP2,0.00000,0,0.00000,0,800153,889.05919,0,0.00000,1068791.11111,961912000,0,2226223,2473.58064,0,0.00000,2231570.00000,2008413000,0.00000,20210426000000
18,CQISBG6BZX_3-5_SIP2,0.00000,0,0.00000,0,797410,886.01157,0,0.00000,1056732.22222,951059000,0,2233527,2481.69700,0,0.00000,2235442.22222,2011898000,0.00000,20210426000000
19,CQISBG5BZX_3-11_SIP4,0.00000,0,0.00000,0,58,0.06451,0,0.00000,1032.22222,929000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
20,CQISBG5BZX_3-13_SIP4,0.00000,0,0.00000,0,1767338,1963.70936,0,0.00000,1859201.11111,1673281000,0,2029406,2254.89537,0,0.00000,2689286.66667,2420358000,0.00000,20210426000000
21,CQISBG6BZX_3-14_SIP3,0.00000,0,0.00000,0,58,0.06417,0,0.00000,1026.66667,924000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
22,CQISBG6BZX_3-12_SIP3,0.00000,0,0.00000,0,35863,39.84831,0,0.00000,47794.44444,43015000,0,1299535,1443.92740,0,0.00000,1335387.77778,1201849000,0.00000,20210426000000
23,CQISBG7BZX_3-5_SIP2,0.00000,0,0.00000,0,800011,888.90072,0,0.00000,1069138.88889,962225000,0,2228907,2476.56293,0,0.00000,2233900.00000,2010510000,0.00000,20210426000000
24,CQISBG7BZX_3-6_SIP2,0.00000,0,0.00000,0,562,0.62493,0,0.00000,9998.88889,8999000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
25,CQISBG6BZX_3-13_SIP4,0.00000,0,0.00000,0,58,0.06424,0,0.00000,1027.77778,925000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
26,CQISBG6BZX_3-11_SIP4,0.00000,0,0.00000,0,1654900,1838.77768,0,0.00000,1746711.11111,1572040000,0,1993276,2214.75166,0,0.00000,2653130.00000,2387817000,0.00000,20210426000000
27,CQISBG5BZX_3-10_SIP1,0.00000,0,0.00000,0,2891762,3213.06889,0,0.00000,3730125.55556,3357113000,0,3235819,3595.35396,0,0.00000,3312474.44444,2981227000,0.00000,20210426000000
28,CQISBG7BZX_3-13_SIP4,0.00000,0,0.00000,0,563,0.62562,0,0.00000,10010.00000,9009000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
29,CQISBG9BZX_3-10_SIP1,0.00000,0,0.00000,0,634,0.70465,0,0.00000,11274.44444,10147000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
30,CQISBG7BZX_3-11_SIP4,0.00000,0,0.00000,0,1852805,2058.67250,0,0.00000,1942500.00000,1748250000,0,2007082,2230.09147,0,0.00000,2617196.66667,2355477000,0.00000,20210426000000
31,CQISBG8BZX_4-10_DRA,0.00000,0,0.00000,0,552945,614.38340,0,0.00000,1714082.22222,1542674000,0,678162,753.51375,0,0.00000,1388870.00000,1249983000,0.00000,20210426000000
32,CQISBG6BZX_4-9_DRA,0.00000,0,0.00000,0,58,0.06438,0,0.00000,1030.00000,927000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
33,CQISBG9BZX_3-11_SIP4,0.00000,0,0.00000,0,635,0.70549,0,0.00000,11287.77778,10159000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
34,CQISBG7BZX_3-9_SIP1,0.00000,0,0.00000,0,2764012,3071.12424,0,0.00000,3569756.66667,3212781000,0,3200822,3556.46897,0,0.00000,3290961.11111,2961865000,0.00000,20210426000000
35,CQISBG9BZX_3-9_SIP1,0.00000,0,0.00000,0,2774979,3083.30959,0,0.00000,3579475.55556,3221528000,0,3092323,3435.91455,0,0.00000,3181740.00000,2863566000,0.00000,20210426000000
36,CQISBG9BZX_4-10_DRA,0.00000,0,0.00000,0,635,0.70535,0,0.00000,11285.55556,10157000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
37,CQISBG9BZX_3-13_SIP4,0.00000,0,0.00000,0,1847407,2052.67415,0,0.00000,1939898.88889,1745909000,0,2025494,2250.54857,0,0.00000,2643052.22222,2378747000,0.00000,20210426000000
38,CQISBG6BZX_3-9_SIP1,0.00000,0,0.00000,0,58,0.06438,0,0.00000,1030.00000,927000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
39,CQISBG9BZX_4-9_DRA,0.00000,0,0.00000,0,551588,612.87538,0,0.00000,1706326.66667,1535694000,0,675933,751.03711,0,0.00000,1382530.00000,1244277000,0.00000,20210426000000
40,CQISBG9BZX_3-12_SIP3,0.00000,0,0.00000,0,36246,40.27293,0,0.00000,57524.44444,51772000,0,1385239,1539.15437,0,0.00000,1416516.66667,1274865000,0.00000,20210426000000
41,CQISBG9BZX_3-14_SIP3,0.00000,0,0.00000,0,635,0.70535,0,0.00000,11285.55556,10157000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
42,CQISBG6BZX_3-10_SIP1,0.00000,0,0.00000,0,2824756,3138.61812,0,0.00000,3642982.22222,3278684000,0,3103542,3448.37995,0,0.00000,3200198.88889,2880179000,0.00000,20210426000000
43,CQISBG5BZX_4-9_DRA,0.00000,0,0.00000,0,58,0.06451,0,0.00000,1032.22222,929000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
44,CQISBG6BZX_4-10_DRA,0.00000,0,0.00000,0,529674,588.52611,0,0.00000,1615850.00000,1454265000,0,645423,717.13677,0,0.00000,1320578.88889,1188521000,0.00000,20210426000000
45,CQISBG9BZX_3-6_SIP2,0.00000,0,0.00000,0,634,0.70403,0,0.00000,11264.44444,10138000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
46,CQISBG8BZX_3-12_SIP3,0.00000,0,0.00000,0,634,0.70410,0,0.00000,11265.55556,10139000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
47,CQISBG9BZX_3-5_SIP2,0.00000,0,0.00000,0,800906,889.89609,0,0.00000,1069134.44444,962221000,0,2223442,2470.49129,0,0.00000,2228856.66667,2005971000,0.00000,20210426000000
48,CQISBG5BZX_3-9_SIP1,0.00000,0,0.00000,0,58,0.06417,0,0.00000,1026.66667,924000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
49,CQISBG8BZX_3-14_SIP3,0.00000,0,0.00000,0,35890,39.87747,0,0.00000,57107.77778,51397000,0,1393122,1547.91317,0,0.00000,1424071.11111,1281664000,0.00000,20210426000000
50,CQISBG5BZX_3-5_SIP2,0.00000,0,0.00000,0,731361,812.62328,0,0.00000,980327.77778,882295000,0,2167664,2408.51587,0,0.00000,2159828.88889,1943846000,0.00000,20210426001500
51,CQISBG5BZX_3-6_SIP2,0.00000,0,0.00000,0,58,0.06465,0,0.00000,1034.44444,931000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
52,CQISBG7BZX_4-9_DRA,0.00000,0,0.00000,0,544011,604.45679,0,0.00000,1688152.22222,1519337000,0,669361,743.73466,0,0.00000,1369325.55556,1232393000,0.00000,20210426001500
53,CQISBG7BZX_4-10_DRA,0.00000,0,0.00000,0,563,0.62507,0,0.00000,10001.11111,9001000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
54,CQISBG7BZX_3-10_SIP1,0.00000,0,0.00000,0,562,0.62493,0,0.00000,9998.88889,8999000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
55,CQISBG8BZX_3-9_SIP1,0.00000,0,0.00000,0,633,0.70292,0,0.00000,11246.66667,10122000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
56,CQISBG8BZX_3-10_SIP1,0.00000,0,0.01778,16,2643637,2937.37422,0,0.00000,3423053.33333,3080748000,0,3032993,3369.99257,0,0.00000,3104085.55556,2793677000,0.00000,20210426001500
57,CQISBG7BZX_3-12_SIP3,0.00000,0,0.00000,0,562,0.62493,0,0.00000,9998.88889,8999000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
58,CQISBG7BZX_3-14_SIP3,0.00000,0,0.00000,0,30732,34.14622,0,0.00000,50002.22222,45002000,0,1232253,1369.17042,0,0.00000,1260721.11111,1134649000,0.00000,20210426001500
59,CQISBG5BZX_3-14_SIP3,0.00000,0,0.00000,0,59,0.06500,0,0.00000,1040.00000,936000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
60,CQISBG5BZX_3-12_SIP3,0.00000,0,0.00000,0,30774,34.19309,0,0.00000,41722.22222,37550000,0,1293802,1437.55729,0,0.00000,1323403.33333,1191063000,0.00000,20210426001500
61,CQISBG8BZX_4-9_DRA,0.00000,0,0.00000,0,633,0.70292,0,0.00000,11246.66667,10122000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
