,NEname,EQPT.DownBPS,EQPT.DownPPS,EQPT.UpBPS,EQPT.UpPPS,SIG.ConflictPPS,SIG.ConflictPkg,SIG.RecvErrPPS,SIG.RecvErrPkg,SIG.RecvKB,SIG.RecvKBPS,SIG.RecvLoss,SIG.RecvLossPPS,SIG.RecvPPS,SIG.RecvPkg,SIG.SendErrPkg,SIG.SendKB,SIG.SendKBPS,SIG.SendLoss,SIG.SendLossPPS,SIG.SendPPS,SIG.SendPkg,SIG.SenderrPPS,dateTime
0,CQPSBC25BZX_207_sGi,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0,520,0.57811,30,0.03333,5.22778,4705,0,434,0.48246,0,0.00000,4.19444,3775,0.00000,20210426000000
1,CQPSBC25BZX_208_Mw,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0,121,0.13438,30,0.03333,2.03444,1831,0,44,0.04887,0,0.00000,1.00111,901,0.00000,20210426000000
2,CQPSBC25BZX_209_Rx,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0,121,0.13424,30,0.03333,2.03444,1831,0,44,0.04887,0,0.00000,1.00111,901,0.00000,20210426000000
3,CQPSBC23BZX_109_Rx,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0,13104,14.55954,30,0.03333,73.00000,65700,0,25728,28.58668,0,0.00000,61.98444,55786,0.00000,20210426000000
4,CQPSBC23BZX_108_Mw,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0,1465278,1628.08627,30,0.03333,1784.67667,1606209,0,1187266,1319.18422,0,0.00000,1644.55000,1480095,0.00000,20210426000000
5,CQPSBC23BZX_107_sGi,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0,738638,820.70865,30,0.03333,1409.17111,1268254,0,582277,646.97491,0,0.00000,1292.48444,1163236,0.00000,20210426000000
6,CQPSBC27BZX_209_Rx,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0,121,0.13424,30,0.03333,2.03444,1831,0,44,0.04887,0,0.00000,1.00111,901,0.00000,20210426000000
7,CQPSBC27BZX_207_sGi,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0,520,0.57802,30,0.03333,5.22667,4704,0,434,0.48237,0,0.00000,4.19333,3774,0.00000,20210426000000
8,CQPSBC27BZX_208_Mw,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0,121,0.13438,30,0.03333,2.03444,1831,0,44,0.04887,0,0.00000,1.00111,901,0.00000,20210426000000
9,CQPSBC22BZX_109_Rx,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0,12785,14.20536,30,0.03333,70.92333,63831,0,25185,27.98330,0,0.00000,60.29222,54263,0.00000,20210426000000
10,CQPSBC24BZX_109_Rx,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0,18530,20.58846,30,0.03333,99.65111,89686,0,36632,40.70249,0,0.00000,79.71889,71747,0.00000,20210426000000
11,CQPSBC22BZX_208_Mw,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0,121,0.13454,30,0.03333,2.03556,1832,0,44,0.04892,0,0.00000,1.00222,902,0.00000,20210426000000
12,CQPSBC22BZX_209_Rx,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0,121,0.13444,30,0.03333,2.03444,1831,0,44,0.04887,0,0.00000,1.00111,901,0.00000,20210426000000
