,NEname,SIG.ConflictPPS,SIG.ConflictPkg,SIG.RecvErrPPS,SIG.RecvErrPkg,SIG.RecvKB,SIG.RecvKBPS,SIG.RecvLoss,SIG.RecvLossPPS,SIG.RecvPPS,SIG.RecvPkg,SIG.SendErrPkg,SIG.SendKB,SIG.SendKBPS,SIG.SendLoss,SIG.SendLossPPS,SIG.SendPPS,SIG.SendPkg,SIG.SenderrPPS,dateTime
0,CQVOLTETAS7BZX_1-6_BOSS,0.00000,0,0.00000,0,6165,6.84987,0,0.00000,35902.22222,32312000,0,70837,78.70822,0,0.00000,88506.66667,79656000,0.00000,20210426000000
1,CQVOLTETAS7BZX_4-6_CSCF,0.00000,0,0.00000,0,172989,192.20997,0,0.00000,524367.77778,471931000,0,176798,196.44268,0,0.00000,428690.00000,385821000,0.00000,20210426000000
2,CQVOLTETAS7BZX_1-5_BOSS,0.00000,0,0.00000,0,121,0.13460,0,0.00000,2056.66667,1851000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
3,CQVOLTETAS5BZX_3-6_DRA,0.00000,0,0.00000,0,562,0.62493,0,0.00000,9998.88889,8999000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
4,CQVOLTETAS7BZX_4-5_CSCF,0.00000,0,0.00000,0,634,0.70396,0,0.00000,11263.33333,10137000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
5,CQVOLTETAS6BZX_1-5_BOSS,0.00000,0,0.00000,0,6107,6.78580,0,0.00000,34928.88889,31436000,0,70299,78.10946,0,0.00000,87871.11111,79084000,0.00000,20210426000000
6,CQVOLTETAS6BZX_1-6_BOSS,0.00000,0,0.00000,0,61,0.06744,0,0.00000,1036.66667,933000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
7,CQVOLTETAS3BZX_1-6_BOSS,0.00000,0,0.00000,0,791,0.87914,0,0.00000,3655.55556,3290000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
8,CQVOLTETAS3BZX_1-5_BOSS,0.00000,0,0.00000,0,7622,8.46898,0,0.00000,42356.66667,38121000,0,70399,78.22083,0,0.00000,91456.66667,82311000,0.00000,20210426000000
9,CQVOLTETAS3BZX_3-5_DRA,0.00000,0,0.00000,0,2447105,2719.00581,0,0.00000,2692880.00000,2423592000,0,1191179,1323.53217,0,0.00000,1532848.88889,1379564000,0.00000,20210426000000
10,CQVOLTETAS3BZX_3-6_DRA,0.00000,0,0.00000,0,58,0.06465,0,0.00000,1034.44444,931000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
11,CQVOLTETAS4BZX_1-5_BOSS,0.00000,0,0.00000,0,6901,7.66792,0,0.00000,37946.66667,34152000,0,73497,81.66331,0,0.00000,91554.44444,82399000,0.00000,20210426000000
12,CQVOLTETAS4BZX_3-6_DRA,0.00000,0,0.00000,0,58,0.06479,0,0.00000,1036.66667,933000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
13,CQVOLTETAS4BZX_1-6_BOSS,0.00000,0,0.00000,0,796,0.88483,0,0.00000,3684.44444,3316000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
14,CQVOLTETAS4BZX_3-5_DRA,0.00000,0,0.00000,0,2462646,2736.27363,0,0.00000,2710705.55556,2439635000,0,1201747,1335.27425,0,0.00000,1544693.33333,1390224000,0.00000,20210426000000
15,CQVOLTETAS4BZX_4-6_CSCF,0.00000,0,0.00000,0,58,0.06444,0,0.00000,1031.11111,928000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
16,CQVOLTETAS4BZX_4-5_CSCF,0.00000,0,0.00000,0,185125,205.69474,0,0.00000,533960.00000,480564000,0,182328,202.58683,0,0.00000,443313.33333,398982000,0.00000,20210426000000
17,CQVOLTETAS6BZX_3-5_DRA,0.00000,0,0.00000,0,2434264,2704.73827,0,0.00000,2672865.55556,2405579000,0,1181571,1312.85660,0,0.00000,1508666.66667,1357800000,0.00000,20210426000000
18,CQVOLTETAS6BZX_3-6_DRA,0.00000,0,0.00000,0,634,0.70458,0,0.00000,11273.33333,10146000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
19,CQVOLTETAS6BZX_4-6_CSCF,0.00000,0,0.00000,0,634,0.70444,0,0.00000,11271.11111,10144000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
20,CQVOLTETAS3BZX_4-6_CSCF,0.00000,0,0.00000,0,58,0.06465,0,0.00000,1034.44444,931000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
21,CQVOLTETAS3BZX_4-5_CSCF,0.00000,0,0.00000,0,182704,203.00434,0,0.00000,525604.44444,473044000,0,179602,199.55734,0,0.00000,436604.44444,392944000,0.00000,20210426000000
22,CQVOLTETAS5BZX_4-6_CSCF,0.00000,0,0.00000,0,562,0.62486,0,0.00000,9997.77778,8998000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
23,CQVOLTETAS5BZX_1-5_BOSS,0.00000,0,0.00000,0,6715,7.46064,0,0.00000,38916.66667,35025000,0,71218,79.13098,0,0.00000,90518.88889,81467000,0.00000,20210426000000
24,CQVOLTETAS5BZX_4-5_CSCF,0.00000,0,0.00000,0,171484,190.53754,0,0.00000,518652.22222,466787000,0,174650,194.05591,0,0.00000,425747.77778,383173000,0.00000,20210426000000
25,CQVOLTETAS5BZX_1-6_BOSS,0.00000,0,0.00000,0,121,0.13470,0,0.00000,2057.77778,1852000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
26,CQVOLTETAS7BZX_3-5_DRA,0.00000,0,0.00000,0,634,0.70389,0,0.00000,11262.22222,10136000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
27,CQVOLTETAS7BZX_3-6_DRA,0.00000,0,0.00000,0,2430650,2700.72262,0,0.00000,2668232.22222,2401409000,0,1173952,1304.39091,0,0.00000,1500075.55556,1350068000,0.00000,20210426000000
