,NEname,dateTime,SC.AnsSessionTerm.fromVoLTE,SC.OrigRelBeforeRing.fromVoLTE,SC.OrigRelAfterRing.fromVoLTE,SC.FailSessionOrig.403.fromVoLTE,SC.FailSessionOrig.404.fromVoLTE,SC.FailSessionOrig.408.fromVoLTE,SC.FailSessionOrig.480.fromVoLTE,SC.FailSessionOrig.484.fromVoLTE,SC.FailSessionOrig.487.fromVoLTE,SC.FailSessionOrig.486.fromVoLTE,SC.FailSessionOrig.600.fromVoLTE,SC.FailSessionOrig.603.fromVoLTE,SC.FailSessionOrig.604.fromVoLTE,SC.AnsSessionOrig.fromVoLTE,SC.FailSessionTerm.403.fromVoLTE,SC.FailSessionTerm.404.fromVoLTE,SC.FailSessionTerm.408.fromVoLTE,SC.FailSessionTerm.480.fromVoLTE,SC.FailSessionTerm.484.fromVoLTE,SC.FailSessionTerm.486.fromVoLTE,SC.FailSessionTerm.487.fromVoLTE,SC.FailSessionTerm.600.fromVoLTE,SC.FailSessionTerm.603.fromVoLTE,SC.FailSessionTerm.604.fromVoLTE,SC.TermRelBeforeRing.fromVoLTE,SC.TermRelAfterRing.fromVoLTE,SC.AttSessionOrig.fromVoLTE,SC.AttSessionTerm.fromVoLTE
0,CQISBG6BZX,20210124141500,53813.0,5575.0,12508.0,2.0,3.0,1677.0,383.0,0.0,585.0,16.0,0.0,3.0,0.0,51503.0,19.0,0.0,4045.0,30.0,0.0,741.0,1542.0,0.0,0.0,0.0,3065.0,11110.0,72288.0,74430.0
1,CQISBG8BZX,20210124141500,53866.0,5530.0,12597.0,5.0,7.0,1630.0,351.0,0.0,529.0,11.0,0.0,3.0,0.0,51098.0,0.0,0.0,3944.0,34.0,0.0,702.0,1551.0,0.0,0.0,0.0,2966.0,10783.0,71794.0,73911.0
2,CQISBG7BZX,20210124141500,54009.0,5552.0,12525.0,7.0,5.0,1603.0,384.0,0.0,616.0,18.0,0.0,1.0,0.0,50825.0,0.0,0.0,4112.0,22.0,0.0,726.0,1530.0,0.0,0.0,0.0,3059.0,10939.0,71579.0,74462.0
3,CQISBG9BZX,20210124141500,54549.0,5453.0,12484.0,9.0,6.0,1599.0,401.0,0.0,580.0,11.0,0.0,0.0,1.0,51259.0,9.0,0.0,4106.0,26.0,0.0,739.0,1546.0,0.0,1.0,0.0,3025.0,10934.0,71822.0,75027.0
4,CQISBG5BZX,20210124141500,53911.0,5472.0,12285.0,3.0,4.0,1679.0,373.0,0.0,575.0,21.0,0.0,2.0,1.0,50738.0,0.0,0.0,4039.0,21.0,0.0,734.0,1560.0,0.0,0.0,0.0,2867.0,10743.0,71177.0,73957.0
5,CQISBG6BZX,20210124143000,53830.0,5487.0,12489.0,3.0,1.0,1611.0,362.0,0.0,522.0,19.0,0.0,4.0,0.0,50144.0,0.0,0.0,4057.0,34.0,0.0,751.0,1546.0,0.0,1.0,0.0,2937.0,10859.0,70674.0,74067.0
6,CQISBG8BZX,20210124143000,53635.0,5582.0,12153.0,7.0,0.0,1600.0,388.0,0.0,569.0,16.0,0.0,4.0,0.0,50498.0,8.0,0.0,3968.0,35.0,0.0,722.0,1514.0,0.0,1.0,0.0,2922.0,10831.0,70847.0,73697.0
7,CQISBG7BZX,20210124143000,53688.0,5357.0,12599.0,5.0,1.0,1589.0,369.0,0.0,576.0,17.0,0.0,2.0,1.0,49998.0,0.0,0.0,3923.0,25.0,0.0,646.0,1611.0,0.0,1.0,0.0,2875.0,10935.0,70564.0,73789.0
8,CQISBG9BZX,20210124143000,53492.0,5367.0,12486.0,5.0,1.0,1652.0,363.0,0.0,531.0,19.0,0.0,8.0,0.0,50338.0,5.0,0.0,3978.0,27.0,0.0,692.0,1550.0,0.0,0.0,0.0,2983.0,10842.0,70801.0,73642.0
9,CQISBG5BZX,20210124143000,53194.0,5457.0,12084.0,4.0,5.0,1669.0,427.0,0.0,564.0,20.0,0.0,1.0,0.0,50385.0,0.0,0.0,3985.0,33.0,0.0,722.0,1627.0,0.0,0.0,0.0,2808.0,10869.0,70642.0,73339.0
10,CQISBG6BZX,20210124144500,52987.0,5354.0,12168.0,3.0,3.0,1561.0,380.0,0.0,559.0,28.0,0.0,5.0,0.0,48987.0,1.0,0.0,4028.0,21.0,0.0,784.0,1621.0,0.0,0.0,0.0,2935.0,10850.0,69080.0,73325.0
11,CQISBG8BZX,20210124144500,52724.0,5566.0,12204.0,3.0,6.0,1647.0,376.0,0.0,561.0,23.0,0.0,2.0,1.0,49835.0,0.0,0.0,4046.0,26.0,0.0,801.0,1536.0,0.0,0.0,0.0,3056.0,10662.0,70263.0,72921.0
12,CQISBG7BZX,20210124144500,53110.0,5336.0,12067.0,1.0,4.0,1717.0,360.0,0.0,542.0,16.0,0.0,1.0,0.0,49612.0,0.0,0.0,3976.0,26.0,0.0,680.0,1556.0,0.0,0.0,0.0,2873.0,10831.0,69672.0,73137.0
